,tile_id,accepted_number_of_marks
865,SWC0189_1_3,0
866,SWC0189_2_1,0
867,SWC0189_2_2,0
868,SWC0189_2_3,0
869,SWC0189_3_1,1
870,SWC0189_3_2,0
871,SWC0189_3_3,0
872,SWC0189_4_1,1
873,SWC0189_4_2,0
874,SWC0189_4_3,0
875,SWC0190_1_1,0
876,SWC0190_1_2,0
877,SWC0190_1_3,0
878,SWC0190_2_1,0
879,SWC0190_2_2,0
880,SWC0190_2_3,1
881,SWC0190_3_1,0
882,SWC0190_3_2,0
883,SWC0190_3_3,0
884,SWC0190_4_1,1
885,SWC0190_4_2,0
886,SWC0190_4_3,0
887,SWC0191_1_1,4
888,SWC0191_1_2,5
889,SWC0191_1_3,4
890,SWC0191_2_1,1
891,SWC0191_2_2,0
892,SWC0191_2_3,5
893,SWC0191_3_1,0
894,SWC0191_3_2,0
895,SWC0191_3_3,2
896,SWC0191_4_1,4
897,SWC0191_4_2,2
898,SWC0191_4_3,11
899,SWC0194_1_1,1
900,SWC0194_1_2,5
901,SWC0194_1_3,10
902,SWC0194_2_1,10
903,SWC0194_2_2,18
904,SWC0194_2_3,40
905,SWC0194_3_1,32
906,SWC0194_3_2,29
907,SWC0194_3_3,30
908,SWC0194_4_1,5
909,SWC0194_4_2,26
910,SWC0194_4_3,8
911,SWC0195_1_1,0
912,SWC0195_1_2,0
913,SWC0195_1_3,0
914,SWC0195_2_1,0
915,SWC0195_2_2,0
916,SWC0195_2_3,0
917,SWC0195_3_1,0
918,SWC0195_3_2,0
919,SWC0195_3_3,0
920,SWC0195_4_1,0
921,SWC0195_4_2,0
922,SWC0195_4_3,11
923,SWC0196_1_1,0
924,SWC0196_1_2,0
925,SWC0196_1_3,0
926,SWC0196_2_1,0
927,SWC0196_2_2,0
928,SWC0196_2_3,0
929,SWC0196_3_1,0
930,SWC0196_3_2,1
931,SWC0196_3_3,2
932,SWC0196_4_1,0
933,SWC0196_4_2,1
934,SWC0196_4_3,6
935,SWC0197_1_1,3
936,SWC0197_1_2,0
937,SWC0197_1_3,2
938,SWC0197_2_1,2
939,SWC0197_2_2,0
940,SWC0197_2_3,0
941,SWC0197_3_1,1
942,SWC0197_3_2,2
943,SWC0197_3_3,0
944,SWC0197_4_1,4
945,SWC0197_4_2,11
946,SWC0197_4_3,12
947,SWC0198_1_1,0
948,SWC0198_1_2,0
949,SWC0198_1_3,32
950,SWC0198_2_1,0
951,SWC0198_2_2,1
952,SWC0198_2_3,3
953,SWC0198_3_1,0
954,SWC0198_3_2,0
955,SWC0198_3_3,1
956,SWC0198_4_1,0
957,SWC0198_4_2,2
958,SWC0198_4_3,11
959,SWC0199_1_1,0
960,SWC0199_1_2,0
961,SWC0199_1_3,0
962,SWC0199_2_1,0
963,SWC0199_2_2,0
964,SWC0199_2_3,0
965,SWC0199_3_1,0
966,SWC0199_3_2,1
967,SWC0199_3_3,1
968,SWC0199_4_1,3
969,SWC0199_4_2,0
970,SWC0199_4_3,1
971,SWC0200_1_1,0
972,SWC0200_1_2,1
973,SWC0200_1_3,0
974,SWC0200_2_1,0
975,SWC0200_2_2,0
976,SWC0200_2_3,1
977,SWC0200_3_1,0
978,SWC0200_3_2,0
979,SWC0200_3_3,0
980,SWC0200_4_1,0
981,SWC0200_4_2,1
982,SWC0200_4_3,0
983,SWC0201_1_1,0
984,SWC0201_1_2,0
985,SWC0201_1_3,0
986,SWC0201_2_1,0
987,SWC0201_2_2,10
988,SWC0201_2_3,0
989,SWC0201_3_1,0
990,SWC0201_3_2,1
